id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Letters,Maple Avenue,folk,nostalgic,0.46,96,0.68,0.49,0.88
12,Neon Parade,Glass District,edm,excited,0.95,128,0.86,0.91,0.04
13,Velvet Promise,Blue Afterglow,r&b,romantic,0.58,92,0.74,0.77,0.31
14,Dust and Thunder,Red Mesa,country,hopeful,0.64,104,0.72,0.61,0.67
15,Static Hearts,Iron Avenue,punk,rebellious,0.89,176,0.55,0.63,0.12
16,Cathedral Echoes,Aurelia Choir,classical,peaceful,0.22,58,0.62,0.28,0.97
17,Bassline Mirage,Sand Circuit,hip-hop,confident,0.78,98,0.66,0.84,0.14
18,Silver Orbit,Prism Harbor,dream pop,ethereal,0.51,88,0.57,0.59,0.73
